task,protocol,err,prec,lift,rdep,cov,bind,false,miscred,fallback,abstain,proxy_regret,utility,weight
t00,coverage_weighted_trace,3.589411661773026,0.4582090726111019,0.27370922334965797,1.9815293679813753e-05,0.617816787084471,0.5645377246909103,0.24348944226736863,0.4090999913946951,0.0009208887083376945,0.0,0.02930505981168978,0.4570342817914369,1838592000
t00,delayed_reward_td,3.519333333333376,0.2792666666666616,0.1224666666666668,1.0,0.617816787084471,0.5645377246909103,0.24348944226736863,0.480400000000027,0.0,0.0,0.0,0.01930333333333168,1838592000
t00,dense_shaping,2.9132949936893824,0.38088800000000245,0.14065813333333463,0.6468000000000147,0.617816787084471,0.5645377246909103,0.24348944226736863,0.411196799999998,0.0,0.0,0.2985471999999955,0.22854605997814467,1838592000
t00,event_audited_trace,2.6741702642372083,0.6286861481085134,0.31325505542327503,0.012967870565010522,0.617816787084471,0.5645377246909103,0.24348944226736863,0.23096180600617475,0.2189880808491578,0.028162715050595196,0.06194931842398052,0.7901480019313468,1838592000
t00,hindsight_relabel,3.274293333333357,0.48891133333333614,0.2021419999999995,0.5420000000000221,0.617816787084471,0.5645377246909103,0.24348944226736863,0.5436680000000005,0.0,0.0,0.2513536000000123,0.17562016533333466,1838592000
t00,inverse_dynamics,2.9131333333334832,0.5598773333333408,0.2224226666666705,0.0,0.617816787084471,0.5645377246909103,0.24348944226736863,0.41633600000000326,0.0,0.0,0.0,0.5856348133333216,1838592000
t00,oracle,0.28540000000000354,0.9920000000000848,0.39886666666667475,0.0,0.617816787084471,0.5645377246909103,0.24348944226736863,0.0,0.0,0.0,0.0,1.0,1838592000
t00,raw_effect_trace,3.616961576941538,0.18855596114439457,0.18401069277023188,0.0,0.617816787084471,0.5645377246909103,0.24348944226736863,0.5243174689269923,0.0,0.0,0.0,0.21590862569807537,1838592000
t01,coverage_weighted_trace,3.726640277811084,0.4453494817138574,0.27232673971416366,1.971549366012422e-05,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.4221457312389658,0.0009159760583811269,0.0,0.02931388002927493,0.41925252886234887,1838592000
t01,delayed_reward_td,3.6393333333332416,0.2792666666666616,0.1224666666666668,1.0,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.480400000000027,0.0,0.0,0.0,0.0007033333333337487,1838592000
t01,dense_shaping,3.0520745863352134,0.3679280000000035,0.1350421333333347,0.6468000000000147,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.42934080000000285,0.0,0.0,0.3279232000000103,0.17612994311804386,1838592000
t01,event_audited_trace,2.7647282878566544,0.6097889313683513,0.3066587873582828,0.014254083950537446,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.23482703547942332,0.24071807119291988,0.03278541205777452,0.07039360525901289,0.760698594435183,1838592000
t01,hindsight_relabel,3.410933333333334,0.477263333333342,0.19586999999999832,0.5420000000000221,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.563380000000005,0.0,0.0,0.2660416000000193,0.12663808533333368,1838592000
t01,inverse_dynamics,2.961133333333436,0.5468213333333398,0.21627866666666457,0.0,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.42939200000000577,0.0,0.0,0.0,0.5594248933333296,1838592000
t01,oracle,0.29500000000000387,0.9920000000000848,0.39886666666667475,0.0,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.0,0.0,0.0,0.0,1.0,1838592000
t01,raw_effect_trace,3.7305906283154733,0.16773854338628125,0.18062073371038748,0.0,0.6176744769800416,0.5285216314610931,0.24350523142378305,0.5410368684958591,0.0,0.0,0.0,0.17441911682510283,1838592000
t02,coverage_weighted_trace,3.7041424835112524,0.4474766249448493,0.27256581329634905,1.9900849216005787e-05,0.6177506340211946,0.534386257197134,0.24348191704318642,0.42003674120574463,0.000919343076121406,0.0,0.029309608137076452,0.42544619759335084,1838592000
t02,delayed_reward_td,3.6168333333331923,0.2792666666666616,0.1224666666666668,1.0,0.6177506340211946,0.534386257197134,0.24348191704318642,0.480400000000027,0.0,0.0,0.0,0.004190833333333667,1838592000
t02,dense_shaping,3.020614624297793,0.37116800000000155,0.13644613333333397,0.6468000000000147,0.6177506340211946,0.534386257197134,0.24348191704318642,0.42480480000000204,0.0,0.0,0.32057919999999285,0.18873255723384483,1838592000
t02,event_audited_trace,2.747707727913204,0.6132622663097126,0.3079685393438877,0.014040392529078292,0.6177506340211946,0.534386257197134,0.24348191704318642,0.23410365632683028,0.2371210950656792,0.03195338632873465,0.06853734496251149,0.7664310769975105,1838592000
t02,hindsight_relabel,3.3869933333333098,0.47920466666666506,0.19691533333333164,0.5420000000000221,0.6177506340211946,0.534386257197134,0.24348191704318642,0.5600946666666687,0.0,0.0,0.26236959999998105,0.13532531866666384,1838592000
t02,inverse_dynamics,2.95313333333329,0.548997333333339,0.2173026666666661,0.0,0.6177506340211946,0.534386257197134,0.24348191704318642,0.4272160000000048,0.0,0.0,0.0,0.5637932133333248,1838592000
